company,file,n_rows,days_bef_start_point,avg_abs_pct_change
GE,GE_Vernova_us_d.csv,472,0,
GE,GE_Vernova_us_d.csv,472,15,99.96197645606367
GE,GE_Vernova_us_d.csv,472,29,87.51992658072032
GE,GE_Vernova_us_d.csv,472,44,91.99035816749068
GE,GE_Vernova_us_d.csv,472,58,94.24505463163665
GE,GE_Vernova_us_d.csv,472,73,95.16314533830766
GE,GE_Vernova_us_d.csv,472,87,96.72512966083754
GE,GE_Vernova_us_d.csv,472,102,98.2278278290377
GE,GE_Vernova_us_d.csv,472,116,98.80231915069736
GE,GE_Vernova_us_d.csv,472,131,99.7568378914363
GE,GE_Vernova_us_d.csv,472,145,99.00055568006255
GE,GE_Vernova_us_d.csv,472,160,99.0817026282046
GE,GE_Vernova_us_d.csv,472,174,99.45689321931832
GE,GE_Vernova_us_d.csv,472,189,99.62871622776305
GE,GE_Vernova_us_d.csv,472,203,99.80847774706201
GE,GE_Vernova_us_d.csv,472,218,99.91614640232204
amazon,amazon_us_d.csv,7230,0,
amazon,amazon_us_d.csv,7230,465,70.71587677507289
amazon,amazon_us_d.csv,7230,930,71.70947446360366
amazon,amazon_us_d.csv,7230,1395,72.09565482286109
amazon,amazon_us_d.csv,7230,1860,72.11527654912312
amazon,amazon_us_d.csv,7230,2325,71.68586715111901
amazon,amazon_us_d.csv,7230,2790,71.3330138527051
amazon,amazon_us_d.csv,7230,3255,71.17700438978659
amazon,amazon_us_d.csv,7230,3721,70.8917146863026
amazon,amazon_us_d.csv,7230,4186,70.5634891444186
amazon,amazon_us_d.csv,7230,4651,70.31511097783041
amazon,amazon_us_d.csv,7230,5116,70.34346003726066
amazon,amazon_us_d.csv,7230,5581,70.29987465016008
amazon,amazon_us_d.csv,7230,6046,70.29620878268896
amazon,amazon_us_d.csv,7230,6511,70.26809500645443
amazon,amazon_us_d.csv,7230,6976,70.30953246085404
apple,apple_us_d.csv,10441,0,
apple,apple_us_d.csv,10441,679,43.650540204470886
apple,apple_us_d.csv,10441,1358,43.632971560897694
apple,apple_us_d.csv,10441,2037,43.53656154477396
apple,apple_us_d.csv,10441,2717,43.29836401418839
apple,apple_us_d.csv,10441,3396,43.3030059213335
apple,apple_us_d.csv,10441,4075,43.246454002916366
