days_bef_start_point,GE,amazon,apple,bp,chevron,coke,corteva,dowjones,exxon,general,gm,microsoft,nasdaq,next,pepsi,shell,sp500,target,tesla,total,walmart
15,99.96197645606367,,,,,,,,,,,,,,,,,,,,
29,87.51992658072032,,,,,,,,,,,,,,,,,,,,
44,91.99035816749068,,,,,,,,,,,,,,,,,,,,
51,,,,,,,,,,,,,,,,6.264073603824565,,,,,
58,94.24505463163665,,,,,,,,,,,,,,,,,,,,
73,95.16314533830766,,,,,,,,,,,,,,,,,,,,
87,96.72512966083754,,,,,,,,,,,,,,,,,,,,
96,,,,,,,13.165948624113463,,,,,,,,,,,,,,
101,,,,,,,,,,,,,,,,7.3874087779897755,,,,,
102,98.2278278290377,,,,,,,,,,,,,,,,,,,,
116,98.80231915069736,,,,,,,,,,,,,,,,,,,,
131,99.7568378914363,,,,,,,,,,,,,,,,,,,,
145,99.00055568006255,,,,,,,,,,,,,,,,,,,,
152,,,,,,,,,,,,,,,,7.221576679142757,,,,,
160,99.0817026282046,,,,,,,,,,,,,,,,,,,,
174,99.45689321931832,,,,,,,,,,,,,,,,,,,,
189,99.62871622776305,,,,,,,,,,,,,,,,,,,,
191,,,,,,,13.492913649041805,,,,,,,,,,,,,,
203,99.80847774706201,,,,,,,,,,,,,,,7.642981693957438,,,,,
218,99.91614640232204,,,,,,,,,,,,,,,,,,,,
239,,,,,,,,,,,24.131755643977197,,,,,,,,,,
245,,,,,,,,,,,,,,,,,,,84.16549783654719,,
253,,,,,,,,,,,,,,,,7.983411483584881,,,,,
287,,,,,,,14.039102591421972,,,,,,,,,,,,,,
304,,,,,,,,,,,,,,,,7.954395757843303,,,,,
335,,,,18.80467536467416,,,,,,,,,18.974031404939268,17.40628094237607,,,,,,14.482304496205094,
355,,,,,,,,,,,,,,,,8.182158219497413,,,,,
383,,,,,,,13.809599619552372,,,,,,,,,,,,,,
405,,,,,,,,,,,,,,,,8.236185978604876,,,,,
456,,,,,,,,,,,,,,,,8.384688857677714,,,,,
465,,70.71587677507289,,,,,,,,,,,,,,,,,,,
478,,,,,,,13.37071022847367,,,,23.46626160834572,,,,,,,,,,
491,,,,,,,,,,,,,,,,,,,84.26353901182483,,
507,,,,,,,,,,,,,,,,8.364348922329667,,,,,
557,,,,,,,,,,,,,,,,8.356429296588136,,,,,
574,,,,,,,13.073477208150129,,,,,,,,,,,,,,
608,,,,,,,,,,,,,,,,8.137222064775667,,,,,
654,,,,,,,,,,,,28.28614310434569,,,,,,,,,
659,,,,,,,,,,,,,,,,8.06023712005352,,,,,
670,,,,18.929983364664892,,,13.192218827798788,,,,,,19.493144893977984,16.860622877155784,,,,,,14.990503466632301,
679,,,43.650540204470886,,,,,,,,,,,,,,,,,,
700,,,,,,,,,,14.10797468456376,,,,,,,,,,,
703,,,,,,,,,,,,,,,,,,22.66085964903009,,,
709,,,,,,,,,,,,,,,,7.9346655457298265,,,,,
717,,,,,,,,,,,23.58137944939382,,,,,,,,,,
736,,,,,,,,,,,,,,,,,,,84.18155182482764,,
760,,,,,,,,,,,,,,,,7.839501863869708,,,,,
765,,,,,,,13.732855024257319,,,,,,,,,,,,,,
809,,,,,,,,,,,,,,,13.496290603848212,,,,,,
861,,,,,,,13.672708494489134,,,,,,,,,,,,,,
884,,,,,,,,,,,,,,,,,,,,,28.35602538122624
926,,,,,16.397738678080366,,,,13.876944110408328,,,,,,,,,,,,
927,,,,,,18.065086321433178,,,,,,,,,,,,,,,
930,,71.70947446360366,,,,,,,,,,,,,,,,,,,
955,,,,,,,,,,,23.449692926119603,,,,,,,,,,
957,,,,,,,13.570366501665452,,,,,,,,,,,,,,
982,,,,,,,,,,,,,,,,,,,84.27590040086453,,
1005,,,,19.739386687285553,,,,,,,,,19.565323759343546,16.373353755453827,,,,,,15.345977577060506,
1052,,,,,,,13.257598352169117,,,,,,,,,,,,,,
1148,,,,,,,13.218917324531828,,,,,,,,,,,,,,
1194,,,,,,,,,,,22.959808756583623,,,,,,,,,,
1227,,,,,,,,,,,,,,,,,,,84.3704103716095,,
1244,,,,,,,12.914749023231915,,,,,,,,,,,,,,
1308,,,,,,,,,,,,28.32464004885389,,,,,,,,,
1339,,,,,,,12.880105089315743,,,,,,,,,,,,,,
1340,,,,19.81963646767503,,,,,,,,,18.888488744171248,15.983552774396458,,,,,,14.87608940178482,
1358,,,43.632971560897694,,,,,,,,,,,,,,,,,,
1395,,72.09565482286109,,,,,,,,,,,,,,,,,,,
1401,,,,,,,,,,14.175542260283004,,,,,,,,,,,
1407,,,,,,,,,,,,,,,,,,22.4372386342968,,,
1433,,,,,,,,,,,22.722941615125386,,,,,,,,,,
1435,,,,,,,12.866677450066812,,,,,,,,,,,,,,
1473,,,,,,,,,,,,,,,,,,,84.02990544761748,,
1617,,,,,,,,,,,,,,,13.425199228931207,,,,,,
1672,,,,,,,,,,,22.8061903539169,,,,,,,,,,
1675,,,,19.581412199797537,,,,,,,,,18.339037365508563,15.8814994964781,,,,,,14.910560026704715,
1718,,,,,,,,,,,,,,,,,,,83.93416583133434,,
1769,,,,,,,,,,,,,,,,,,,,,27.435023193817475
1853,,,,,16.16801541029458,18.18709713832493,,,14.042505613422454,,,,,,,,,,,,
1860,,72.11527654912312,,,,,,,,,,,,,,,,,,,
1911,,,,,,,,,,,22.832060333525657,,,,,,,,,,
1961,,,,,,,,,,,,28.052339652701484,,,,,,,,,
1964,,,,,,,,,,,,,,,,,,,83.98788397189976,,
2010,,,,19.345551484145965,,,,,,,,,17.952641136942393,15.787164081825466,,,,,,14.829682206289604,
2037,,,43.53656154477396,,,,,,,,,,,,,,,,,,
2101,,,,,,,,,,14.34230259753657,,,,,,,,,,,
2110,,,,,,,,,,,,,,,,,,22.575930093521478,,,
2150,,,,,,,,,,,22.75127384777891,,,,,,,,,,
2209,,,,,,,,,,,,,,,,,,,83.86043946255259,,
2222,,,,,,,,14.751572539695315,,,,,,,,,,,,,
2325,,71.68586715111901,,,,,,,,,,,,,,,,,,,
2345,,,,19.286011221034464,,,,,,,,,17.91028648915684,15.603548997039093,,,,,,14.888826985581773,
2389,,,,,,,,,,,22.798276150891006,,,,,,,,,,
2426,,,,,,,,,,,,,,,13.563441320318672,,,,,,
